After 1000games:
Score=2080, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3468, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2444, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=964, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2480, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=668, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2404, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3084, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3328, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=6404, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1820, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3060, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1648, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2080, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5244, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1388, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2432, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2680, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3084, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2848, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=6608, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3324, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3248, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2848, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2716, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2816, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2524, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=648, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1624, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2828, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1564, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1364, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1392, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1388, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5044, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=4960, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1264, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2992, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1608, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3332, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2432, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2984, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3336, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1420, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3184, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2444, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2408, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5044, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5212, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3468, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2816, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1628, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3060, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2408, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=6304, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1612, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3216, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1324, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1772, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1600, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=4200, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3188, eFunc[terminal]=0.00251438, aFunc[terminal]=0.00251438, ratio=1
Score=2608, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2408, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2148, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2320, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5616, eFunc[terminal]=0.032, aFunc[terminal]=0.032, ratio=1
Score=1392, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1816, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2480, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2524, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1312, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=816, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1816, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3324, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3060, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3324, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2500, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=704, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2480, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1312, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2500, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3324, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2412, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=6608, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3184, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1612, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1684, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=964, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3468, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2524, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3184, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1816, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2320, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3216, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1392, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1440, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=668, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2500, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2704, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
